wl	GaAs
874.627	17269.1
874.838	17073.5
875.049	16743.7
875.26	16544.7
875.471	16324.8
875.682	16023
875.893	15776.2
876.104	15514.9
876.315	15213.3
876.526	15045.8
876.737	14824.1
876.948	14457
877.159	14248
877.37	13887.6
877.582	13678.1
877.793	13458.6
878.004	13223.7
878.215	12906.1
878.426	12680.5
878.637	12454.8
878.848	12120.2
879.059	11846.4
879.27	11631.7
879.481	11347.9
879.692	10973.8
879.903	10840.9
880.114	10502.3
880.325	10239.6
880.536	10053.4
880.747	9824.31
880.958	9568.28
881.169	9354.59
881.38	9063.13
881.591	8863.18
881.802	8647.25
882.013	8355.51
882.224	8200.51
882.435	7912.69
882.646	7755.6
882.857	7576.62
883.068	7313.62
883.279	7181.75
883.49	7004.45
883.701	6810.9
883.911	6629.01
884.122	6451.81
884.333	6269.79
884.544	6138.39
884.755	5963.3
884.966	5859.44
885.177	5675.78
885.388	5533.17
885.599	5366.95
885.81	5268.23
886.021	5096.56
886.232	4970.43
886.443	4912.96
886.654	4790
886.865	4647.19
887.075	4539.01
887.286	4445.39
887.497	4336.05
887.708	4250.12
887.919	4136.49
888.13	4016.73
888.341	3958.13
888.552	3888.19
888.762	3758.05
888.973	3725.45
889.184	3611.88
889.395	3532.72
889.606	3436.35
889.817	3385.3
890.028	3283.28
890.238	3199.41
890.449	3148.46
890.66	3060.1
890.871	3030.64
891.082	2932.76
891.293	2880.26
891.503	2781.72
891.714	2728.95
891.925	2685.92
892.136	2632.42
892.347	2572.8
892.557	2486.51
892.768	2435.94
892.979	2378.81
893.19	2345.52
893.401	2257.72
893.612	2243.11
893.822	2189.9
894.033	2122.66
894.244	2082.5
894.455	2041.11
894.665	2002.93
894.876	1963.9
895.087	1920.03
895.298	1856.61
895.508	1820.94
895.719	1776.93
895.93	1747.42
896.141	1719.12
896.352	1669.61
896.562	1647.59
896.773	1604.37
896.984	1582.32
897.194	1549.52
897.405	1523.82
897.616	1487.44
897.827	1459.59
898.037	1436.16
898.248	1417.8
898.459	1390.28
898.669	1368.91
898.88	1337.29
899.091	1310.18
899.302	1310.17
899.512	1278.61
899.723	1266.57
899.934	1233.21
900.144	1232.87
900.355	1231.21
900.566	1193.77
900.776	1200.06
900.987	1165.26
901.198	1158.32
901.408	1157.16
901.619	1133.43
901.83	1123.23
902.04	1120.27
902.251	1114.27
902.462	1091.57
902.672	1062.5
902.883	1063.46
903.094	1044.66
903.304	1031.87
903.515	1043.84
903.725	1026.03
903.936	1033.75
904.147	1018.56
904.357	1020.64
904.568	985.342
904.778	998.885
904.989	977.916
905.2	986.177
905.41	981.479
905.621	975.659
905.831	949.689
906.042	957.442
906.252	944.208
906.463	925.683
906.674	937.334
906.884	931.297
907.095	908.172
907.305	902.849
907.516	903.669
907.726	897.605
907.937	888.258
908.147	904.129
908.358	891.004
908.569	889.13
908.779	871.551
908.99	861.06
909.2	876.803
909.411	869.53
909.621	860.037
909.832	851.754
